date,location,total_cases,new_deaths,stringency_index
11-11-2020,France,40362,24,99.24154005
12-11-2020,India,37180,465,67.14549349
,India,1424,88,31.69224773
14-11-2020,France,,267,87.926866
15-11-2020,India,,142,25.84316203
16-11-2020,France,89439,,54.40165792
17-11-2020,,19970,409,63.60707637
18-11-2020,Japan,34678,,22.10633715
19-11-2020,USA,72224,364,97.83972788
20-11-2020,Brazil,26890,25,74.8191906
21-11-2020,Japan,25389,46,55.78132255
22-11-2020,USA,55229,287,18.05945982
23-11-2020,USA,93814,265,5.3858207
24-11-2020,Japan,94346,15,32.00598325
25-11-2020,India,15585,198,75.31873359
26-11-2020,USA,44582,400,26.93312983
27-11-2020,Japan,86288,406,53.95562205
28-11-2020,Brazil,4848,281,72.79471767
,Japan,86869,468,10.79437146
30-11-2020,India,9535,85,68.52980161
01-12-2020,USA,3809,249,9.187088771
02-12-2020,Japan,30455,390,96.51297421
03-12-2020,,55871,269,48.83941301
04-12-2020,Germany,57899,334,15.06761077
05-12-2020,France,13216,116,34.2383636
06-12-2020,France,25570,6,41.34164493
07-12-2020,India,42444,136,75.81850111
08-12-2020,Germany,43018,370,
09-12-2020,France,52324,175,61.19405053
10-12-2020,India,39398,327,10.59307126
11-12-2020,USA,80319,497,
12-12-2020,India,61729,314,9.375692065
13-12-2020,Brazil,66140,214,57.71727833
14-12-2020,Germany,99618,476,87.71384415
15-12-2020,Brazil,99935,81,
16-12-2020,France,,222,16.0848174
17-12-2020,Germany,24060,477,55.80423251
18-12-2020,Germany,33691,371,81.17522169
19-12-2020,India,82948,422,74.17120615
20-12-2020,France,67741,482,88.14507797
21-12-2020,USA,36495,,27.79020972
22-12-2020,USA,22800,442,19.39538673
23-12-2020,USA,34720,489,87.98164859
24-12-2020,Germany,20659,,65.75603128
25-12-2020,France,93145,272,
,India,93496,13,74.23480506
27-12-2020,Germany,61742,158,81.51183845
28-12-2020,Germany,76639,151,61.49782403
29-12-2020,Brazil,21832,482,68.78841099
30-12-2020,Japan,91462,107,37.52599044
01-01-2020,France,30454,187,53.86956673
02-01-2020,Germany,13943,300,52.41591707
03-01-2020,USA,71826,97,84.80477911
,USA,17740,130,83.99639803
05-01-2020,Brazil,52628,292,83.26804693
06-01-2020,India,38513,170,1.103161426
07-01-2020,France,52738,423,74.95454845
08-01-2020,Japan,52836,473,75.86763901
09-01-2020,India,68966,182,67.83788229
10-01-2020,Japan,19187,470,75.62646579
,France,,363,84.19703715
12-01-2020,Japan,24604,38,47.03190541
13-01-2020,Japan,7214,14,50.20502135
14-01-2020,Brazil,78959,375,12.47140569
15-01-2020,Germany,99757,496,38.5375883
16-01-2020,India,11075,3,64.33651799
17-01-2020,USA,11123,348,78.03997761
18-01-2020,India,21547,469,21.72090977
19-01-2020,Japan,90569,408,13.78228992
20-01-2020,,24059,396,66.30420045
21-01-2020,India,66303,209,0.187988352
22-01-2020,USA,29803,160,17.83725843
23-01-2020,USA,9437,15,2.907138034
24-01-2020,USA,46527,492,16.68851179
25-01-2020,Brazil,61629,425,18.13192799
26-01-2020,France,84765,107,38.76735948
27-01-2020,Brazil,32021,381,40.23271247
28-01-2020,,33407,449,87.42624706
29-01-2020,India,27455,310,51.01097125
30-01-2020,India,4935,226,72.34047656
31-01-2020,India,20259,169,10.41373579
01-02-2020,France,47705,33,22.54387555
02-02-2020,France,38188,413,70.2943441
03-02-2020,France,78852,250,5.280396047
04-02-2020,Japan,55384,246,48.65976622
05-02-2020,USA,57143,268,59.93689657
06-02-2020,India,35647,140,60.21456441
07-02-2020,USA,97107,273,
08-02-2020,France,82944,415,32.21080042
09-02-2020,Japan,27632,95,63.6490651
10-02-2020,Japan,34449,226,14.89997361
11-02-2020,India,,378,69.54156483
12-02-2020,India,5813,38,74.59252088
13-02-2020,France,56278,301,98.19691904
14-02-2020,France,49507,499,
15-02-2020,France,70440,28,82.51306677
16-02-2020,India,,445,52.02965769
17-02-2020,USA,75772,496,37.34625961
18-02-2020,,65645,476,12.23767573
19-02-2020,India,84891,317,73.55056065
20-02-2020,India,58241,244,23.58575991
21-02-2020,Japan,23893,235,37.14220019
22-02-2020,Brazil,56670,184,6.25422269
23-02-2020,USA,95184,271,80.13669158
24-02-2020,Japan,,439,76.6588524
25-02-2020,Germany,1115,235,73.361583
26-02-2020,France,61913,238,29.94435105
27-02-2020,Brazil,27812,376,17.34800743
,France,8515,265,63.75532645
29-02-2020,France,62392,413,49.61663841
01-03-2020,India,23933,408,17.82524669
,USA,4258,,68.5911271
03-03-2020,India,62780,339,99.11264318
04-03-2020,,20409,,74.72195877
05-03-2020,Japan,7070,64,73.99863867
06-03-2020,,72574,477,95.03127529
07-03-2020,Germany,86804,176,20.29363676
08-03-2020,USA,46640,2,56.55499649
,USA,20484,428,97.9646715
10-03-2020,France,18117,,16.5294111
11-03-2020,Japan,75980,375,70.02519594
12-03-2020,Germany,8802,157,58.5810146
13-03-2020,Brazil,484,497,58.64790922
14-03-2020,Germany,504,323,69.76706275
15-03-2020,USA,41043,145,92.96169229
16-03-2020,India,48026,445,78.25819399
17-03-2020,USA,29289,292,5.613610342
18-03-2020,,12863,152,85.27280199
19-03-2020,Brazil,18484,431,22.55413299
20-03-2020,USA,60200,192,37.69141647
21-03-2020,France,98242,436,46.17328136
22-03-2020,Brazil,9960,493,48.09060008
23-03-2020,France,80742,462,43.51803993
24-03-2020,Brazil,50712,72,93.73532942
25-03-2020,Japan,23674,398,70.60190077
26-03-2020,Brazil,23624,304,63.1170646
27-03-2020,Japan,,376,4.984202778
28-03-2020,Germany,11016,343,90.39133303
29-03-2020,Brazil,4909,451,90.9390192
30-03-2020,Brazil,32301,139,78.02130634
31-03-2020,India,53430,,0.702920381
01-04-2020,France,13556,292,5.728025108
02-04-2020,Germany,56497,60,22.52237023
03-04-2020,France,,484,13.13494081
04-04-2020,India,34916,426,39.88360297
05-04-2020,France,45206,379,92.26230581
06-04-2020,France,54032,197,47.20604342
07-04-2020,Brazil,17200,294,1.340262643
08-04-2020,Germany,57191,439,28.27456896
09-04-2020,Germany,22049,318,4.459490837
10-04-2020,Brazil,70180,301,3.628762261
11-04-2020,Germany,37844,343,27.57198531
12-04-2020,Germany,45643,10,27.56123387
13-04-2020,USA,92293,61,
14-04-2020,USA,36287,332,97.48346528
15-04-2020,Brazil,7339,225,37.12070939
16-04-2020,Germany,14589,152,42.88868789
17-04-2020,India,58117,198,84.47894363
18-04-2020,Germany,,51,
19-04-2020,France,43225,259,15.63818044
20-04-2020,India,50022,58,85.30896234
21-04-2020,India,94174,71,4.650058644
22-04-2020,India,32149,147,61.96994402
23-04-2020,India,37231,348,56.19928475
24-04-2020,Japan,43044,62,34.59204475
25-04-2020,India,74063,309,31.51895211
26-04-2020,France,24385,372,77.18577262
27-04-2020,India,37726,242,8.642461076
28-04-2020,Germany,42908,492,23.67843093
29-04-2020,,88564,365,73.24487318
30-04-2020,USA,53971,329,54.83205837
01-05-2020,Japan,19298,106,12.79882085
02-05-2020,Germany,19858,225,
03-05-2020,France,15354,312,39.34478466
04-05-2020,,44338,217,82.78683753
05-05-2020,Brazil,1352,424,78.77130155
06-05-2020,Brazil,39864,,62.44254465
07-05-2020,Brazil,77809,258,49.44811313
08-05-2020,Japan,,375,97.95508404
09-05-2020,Germany,92334,261,14.49650724
10-05-2020,France,53782,4,72.51557276
,France,59594,260,19.11907015
12-05-2020,Germany,81417,53,33.82631053
13-05-2020,Japan,65315,46,30.86987434
14-05-2020,India,78687,214,94.70359877
15-05-2020,Germany,7049,176,96.73561778
16-05-2020,Brazil,55493,8,18.30154442
17-05-2020,Japan,73653,98,2.20351603
18-05-2020,France,7041,19,72.00080397
19-05-2020,Germany,26034,377,41.79899339
20-05-2020,,23486,240,8.884024509
21-05-2020,Germany,61986,60,68.37541056
22-05-2020,Japan,75845,378,54.51055283
23-05-2020,Brazil,83351,489,98.0516822
24-05-2020,Japan,,418,22.74094959
25-05-2020,Japan,53513,177,40.39778763
26-05-2020,Germany,56900,337,54.25458034
27-05-2020,Japan,97339,61,
28-05-2020,Brazil,42418,144,54.88386567
29-05-2020,,70273,215,
30-05-2020,Germany,70490,2,22.61470516
31-05-2020,India,52429,159,84.69187281
01-06-2020,Brazil,43188,226,42.8630547
02-06-2020,Japan,39911,485,14.09596275
03-06-2020,India,55579,268,66.41879145
04-06-2020,Japan,85492,119,21.60904532
05-06-2020,Japan,87469,380,9.756251024
06-06-2020,Japan,20063,494,
07-06-2020,USA,55223,88,46.01622645
08-06-2020,India,92805,328,74.92837127
09-06-2020,USA,73577,67,29.05875598
10-06-2020,India,14488,397,78.69701349
11-06-2020,Germany,5669,356,11.1935927
12-06-2020,Japan,69936,97,
13-06-2020,France,36686,266,97.8061818
14-06-2020,USA,12115,104,79.39897164
15-06-2020,India,45102,439,49.72559303
16-06-2020,India,6354,322,33.97774716
17-06-2020,France,17244,122,87.21357
18-06-2020,France,24314,475,54.48477591
19-06-2020,Germany,80819,28,75.84250179
20-06-2020,,71874,136,75.41076803
21-06-2020,,6190,194,1.794567857
22-06-2020,Brazil,11737,408,12.62537828
23-06-2020,India,22515,225,65.96293664
24-06-2020,USA,24171,331,16.16198113
25-06-2020,Germany,58343,169,25.54933447
26-06-2020,France,41340,8,94.66379542
27-06-2020,India,83907,462,56.01822584
28-06-2020,Japan,33534,39,75.0729507
29-06-2020,France,69824,24,55.79807388
30-06-2020,Germany,75797,260,55.25136148
01-07-2020,France,28832,394,9.415191013
02-07-2020,India,11414,442,34.36631926
03-07-2020,Japan,24054,225,28.24308987
04-07-2020,USA,57208,471,39.07283656
05-07-2020,Germany,87144,123,79.83441882
06-07-2020,Brazil,87605,462,37.19326679
07-07-2020,USA,36768,37,45.16968192
08-07-2020,France,23161,327,39.73813905
09-07-2020,France,79352,250,9.340797198
10-07-2020,Brazil,,,44.10721583
11-07-2020,India,17007,175,19.5609273
12-07-2020,France,18877,89,18.67232958
,India,93329,401,9.403610443
14-07-2020,Germany,51845,453,35.66709741
15-07-2020,India,91965,36,75.74818848
16-07-2020,Japan,81918,315,27.64416906
17-07-2020,USA,23724,175,31.23491019
18-07-2020,France,23421,460,64.26746577
19-07-2020,Germany,10588,,19.58408126
20-07-2020,Brazil,22674,452,89.69579304
21-07-2020,Brazil,5340,460,52.01905233
22-07-2020,India,43321,80,44.76029403
23-07-2020,India,10578,113,55.78201919
24-07-2020,,55745,39,16.60343134
25-07-2020,India,19362,300,61.34731386
26-07-2020,,52896,223,36.31007366
27-07-2020,Germany,4532,317,89.7186341
28-07-2020,France,95357,348,16.88542067
29-07-2020,France,64391,114,50.70511039
30-07-2020,India,79204,185,59.81126294
,,59499,322,3.338360179
01-08-2020,France,79814,55,36.36931248
02-08-2020,USA,50528,39,73.26352347
03-08-2020,France,87831,353,82.03775074
04-08-2020,Brazil,402,39,31.31619948
05-08-2020,Japan,82658,346,79.85932724
06-08-2020,Germany,155,460,96.77558771
07-08-2020,India,8817,236,85.68739361
08-08-2020,USA,28799,288,11.76439882
09-08-2020,Germany,73786,261,73.97303321
10-08-2020,France,67761,215,31.96668324
11-08-2020,USA,44347,146,98.84159894
12-08-2020,USA,16848,,48.53589832
,Brazil,4721,167,12.24338984
14-08-2020,Germany,,91,72.5185548
15-08-2020,France,5226,352,32.30111984
16-08-2020,Japan,5222,58,99.70781571
,Germany,18130,58,97.97824579
18-08-2020,USA,82938,303,65.6134018
19-08-2020,USA,84817,168,12.9826449
20-08-2020,Japan,55758,268,68.68609977
21-08-2020,France,38738,362,9.303048646
22-08-2020,Brazil,67167,44,2.93641591
23-08-2020,USA,88969,344,82.29584462
24-08-2020,Brazil,34774,180,20.97529477
25-08-2020,Germany,35954,169,37.90271262
26-08-2020,Japan,46371,355,97.345739
27-08-2020,USA,73788,190,
28-08-2020,Germany,38618,154,29.64897813
29-08-2020,,10367,421,91.82079996
30-08-2020,France,90925,,11.07484453
31-08-2020,France,,6,75.95824101
01-09-2020,France,50548,132,98.80655667
02-09-2020,,95562,234,90.12960108
03-09-2020,India,6329,44,65.16679187
04-09-2020,India,56893,313,31.4060795
05-09-2020,Brazil,48015,248,25.43219812
06-09-2020,Germany,4732,498,81.92551049
07-09-2020,France,3696,30,87.9821914
,Germany,6268,22,52.54349125
09-09-2020,USA,7661,425,24.43399408
10-09-2020,India,73894,393,11.29432084
11-09-2020,Japan,82252,159,8.717946783
,India,26834,362,71.90774474
13-09-2020,Brazil,6471,436,42.01187278
14-09-2020,India,26169,157,90.53598743
15-09-2020,Germany,80005,38,73.96713007
16-09-2020,India,13010,414,19.12604179
17-09-2020,India,73579,81,61.37774188
,France,77835,355,43.55054544
19-09-2020,Brazil,81364,,57.72497308
20-09-2020,Brazil,,205,73.80691233
21-09-2020,Japan,72374,,80.6195881
22-09-2020,Germany,81549,476,84.37373264
23-09-2020,France,60104,11,25.39748746
24-09-2020,France,63081,294,3.111559992
25-09-2020,Japan,84759,449,73.92947352
26-09-2020,France,54653,223,10.63437263
