Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
390,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006
391,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106
392,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024
393,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142
394,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034
395,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038
396,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034
397,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041
398,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023
399,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028
400,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114
401,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076
402,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182
403,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027
404,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028
405,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1
406,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073
407,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167
408,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037
409,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004
410,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04
411,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09
412,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089
413,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13
414,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082
415,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093
416,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055
417,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164
418,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055
419,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027
420,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047
421,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062
422,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066
423,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072
424,Somalia,4.668,0.0,0.698,0.268,0.559,0.243,0.27
425,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056
426,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102
427,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113
428,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064
429,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125
430,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086
431,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164
432,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167
433,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053
434,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088
435,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138
436,Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055
437,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143
438,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089
439,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053
440,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052
441,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045
442,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047
443,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172
444,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078
445,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01
446,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1
447,Swaziland,4.212,0.811,1.149,0.0,0.313,0.074,0.135
448,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06
449,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067
450,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087
451,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085
452,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085
453,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033
454,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078
455,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041
456,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093
457,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18
458,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089
459,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11
460,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1
461,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141
462,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089
463,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077
464,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411
465,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147
466,Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025
467,Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035
468,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091
469,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393
470,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41
471,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341
472,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118
473,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298
474,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343
475,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373
476,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38
477,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308
478,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226
479,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29
480,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093
481,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082
482,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316
483,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278
484,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31
485,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265
486,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21
487,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128
488,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036
489,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182
490,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151
491,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073
492,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183
493,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097
494,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056
495,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078
496,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132
497,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167
498,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079
499,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054
500,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086
501,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15
502,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453
503,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074
504,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03
505,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11
506,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014
507,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016
508,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05
509,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24
510,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042
511,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034
512,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057
513,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127
514,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006
515,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05
516,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005
517,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041
518,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087
519,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097
520,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028
521,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064
522,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056
523,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161
524,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028
525,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06
526,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14
527,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078
528,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096
529,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064
530,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02
531,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08
532,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162
533,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027
534,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025
535,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098
536,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031
537,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107
538,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039
539,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0
540,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152
541,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08
542,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144
543,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022
544,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287
545,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101
546,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006
547,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106
548,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024
549,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142
550,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034
551,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038
552,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034
553,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041
554,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023
555,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028
556,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114
557,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076
558,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182
559,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027
560,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028
561,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1
562,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073
563,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167
564,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037
565,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004
566,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04
567,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09
568,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089
569,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13
570,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082
571,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093
572,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055
573,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164
574,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055
575,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027
576,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047
577,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062
578,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066
579,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072
580,Somalia,4.668,0.0,0.698,0.268,0.559,0.243,0.27
581,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056
582,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102
583,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113
584,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064
585,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125
586,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086
587,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164
588,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167
589,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053
590,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088
591,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138
592,Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055
593,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143
594,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089
595,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053
596,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052
597,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045
598,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047
599,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172
600,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078
601,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01
602,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1
603,Swaziland,4.212,0.811,1.149,0.0,0.313,0.074,0.135
604,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06
605,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067
606,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087
607,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085
608,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085
609,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033
610,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078
611,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041
612,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093
613,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18
614,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089
615,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11
616,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1
617,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141
618,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089
619,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077
620,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411
621,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147
622,Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025
623,Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035
624,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091
625,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393
626,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41
627,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341
628,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118
629,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298
630,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343
631,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373
632,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38
633,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308
634,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226
635,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29
636,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093
637,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082
638,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316
639,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278
640,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31
641,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265
642,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21
643,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128
644,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036
645,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182
646,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151
647,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073
648,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183
649,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097
650,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056
651,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078
652,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132
653,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167
654,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079
655,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054
656,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086
657,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15
658,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453
659,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074
660,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03
661,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11
662,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014
663,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016
664,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05
665,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24
666,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042
667,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034
668,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057
669,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127
670,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006
671,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05
672,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005
673,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041
674,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087
675,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097
676,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028
677,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064
678,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056
679,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161
680,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028
681,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06
682,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14
683,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078
684,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096
685,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064
686,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02
687,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08
688,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162
689,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027
690,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025
691,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098
692,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031
693,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107
694,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039
695,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0
696,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152
697,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08
698,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144
699,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022
700,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287
701,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101
702,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006
703,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106
704,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024
705,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142
706,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034
707,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038
708,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034
709,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041
710,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023
711,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028
712,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114
713,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076
714,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182
715,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027
716,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028
717,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1
718,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073
719,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167
720,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037
721,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004
722,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04
723,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09
724,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089
725,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13
726,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082
727,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093
728,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055
729,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164
730,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055
731,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027
732,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047
733,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062
734,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066
735,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072
736,Somalia,4.668,0.0,0.698,0.268,0.559,0.243,0.27
737,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056
738,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102
739,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113
740,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064
741,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125
742,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086
743,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164
744,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167
745,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053
746,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088
747,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138
748,Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055
749,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143
750,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089
751,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053
752,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052
753,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045
754,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047
755,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172
756,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078
757,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01
758,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1
759,Swaziland,4.212,0.811,1.149,0.0,0.313,0.074,0.135
760,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06
761,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067
762,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087
763,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085
764,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085
765,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033
766,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078
767,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041
768,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093
769,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18
770,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089
771,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11
772,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1
773,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141
774,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089
775,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077
776,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411
777,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147
778,Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025
779,Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035
